"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R46","0603","90.6mm","18.2mm","90.6mm","18.2mm","91.45mm","18.2mm","T","180.00","130K"
"R47","0402","92mm","11.1mm","92mm","11.1mm","92mm","11.6mm","T","270.00","10k"
"R48","0402","69.3mm","-7mm","69.3mm","-7mm","68.8mm","-7mm","T","360.00","10k"
"J12","662016230822","18.76mm","0mm","21.5mm","0mm","19.19mm","-10.5mm","T","270.00","662016230822"
"C37","C-0805","59mm","5.2mm","59mm","5.2mm","59.875mm","5.2mm","T","180.00","100nF"
"C38","C0402","67.5mm","-2.6mm","67.5mm","-2.6mm","68mm","-2.6mm","T","180.00","1uF"
"C39","C0402","67.5mm","-3.6mm","67.5mm","-3.6mm","68mm","-3.6mm","T","180.00","1uF"
"D18","SOD123","83.7mm","0.5mm","83.7mm","0.5mm","83.7mm","-1.175mm","T","90.00","BZT52C16"
"D19","SOD123","89.4mm","6.5mm","89.4mm","6.5mm","89.4mm","8.175mm","T","270.00","1N4148W"
"D20","SOD123W","63.1mm","9.1mm","63.1mm","9.1mm","64.5mm","9.1mm","T","180.00","BZT52H-C62"
"D21","SOD-323","64.4mm","6mm","64.4mm","6mm","64.4mm","4.875mm","T","90.00","BAT54"
"D22","SOD-323","61.5mm","6mm","61.5mm","6mm","61.5mm","4.875mm","T","90.00","BAT54"
"D23_CELL1","SOD-323","50.8mm","-25.6mm","50.8mm","-25.6mm","50.8mm","-26.725mm","T","90.00","PDZ7.5B"
"D23_CELL2","SOD-323","50.8mm","-21mm","50.8mm","-21mm","50.8mm","-22.125mm","T","90.00","PDZ7.5B"
"D23_CELL3","SOD-323","50.8mm","-16.4mm","50.8mm","-16.4mm","50.8mm","-17.525mm","T","90.00","PDZ7.5B"
"D23_CELL4","SOD-323","50.8mm","-11.8mm","50.8mm","-11.8mm","50.8mm","-12.925mm","T","90.00","PDZ7.5B"
"D23_CELL5","SOD-323","50.8mm","-7.2mm","50.8mm","-7.2mm","50.8mm","-8.325mm","T","90.00","PDZ7.5B"
"D23_CELL6","SOD-323","50.8mm","-2.6mm","50.8mm","-2.6mm","50.8mm","-3.725mm","T","90.00","PDZ7.5B"
"D23_CELL7","SOD-323","50.8mm","2mm","50.8mm","2mm","50.8mm","0.875mm","T","90.00","PDZ7.5B"
"D23_CELL8","SOD-323","50.8mm","6.6mm","50.8mm","6.6mm","50.8mm","5.475mm","T","90.00","PDZ7.5B"
"D23_CELL9","SOD-323","50.8mm","11.2mm","50.8mm","11.2mm","50.8mm","10.075mm","T","90.00","PDZ7.5B"
"D23_CELL10","SOD-323","50.8mm","15.8mm","50.8mm","15.8mm","50.8mm","14.675mm","T","90.00","PDZ7.5B"
"D23_CELL11","SOD-323","50.8mm","20.4mm","50.8mm","20.4mm","50.8mm","19.275mm","T","90.00","PDZ7.5B"
"D23_CELL12","SOD-323","50.8mm","25mm","50.8mm","25mm","50.8mm","23.875mm","T","90.00","PDZ7.5B"
"L2","L0603","63mm","11mm","63mm","11mm","63.85mm","11mm","T","180.00","BLM18PG330SN1D"
"R12","0402","87.2mm","3.2mm","87.2mm","3.2mm","87.2mm","2.7mm","T","90.00","10k"
"R50","0402","67.5mm","-5.6mm","67.5mm","-5.6mm","68mm","-5.6mm","T","180.00","10k"
"R51","0402","67.5mm","-4.6mm","67.5mm","-4.6mm","68mm","-4.6mm","T","180.00","10k"
"R52","0603","20.2mm","-13.8mm","20.2mm","-13.8mm","20.2mm","-14.65mm","T","90.00","0R"
"R53","0402","82.1mm","8.2mm","82.1mm","8.2mm","82.1mm","8.7mm","T","270.00","10k"
"R54","0402","58.5mm","-18.3mm","58.5mm","-18.3mm","58.5mm","-17.8mm","T","270.00","10k"
"R55","0805","95mm","27.5mm","95mm","27.5mm","94.125mm","27.5mm","T","360.00","1R"
"R56","0603","51.7mm","-28.3mm","51.7mm","-28.3mm","52.55mm","-28.3mm","T","180.00","0R"
"R57","0402","67.5mm","-1.6mm","67.5mm","-1.6mm","67mm","-1.6mm","T","360.00","1M"
"R58","0402","67.5mm","-0.6mm","67.5mm","-0.6mm","67mm","-0.6mm","T","360.00","1M"
"R59","0402","67.5mm","0.4mm","67.5mm","0.4mm","67mm","0.4mm","T","360.00","1M"
"R60","0402","67.5mm","1.5mm","67.5mm","1.5mm","67mm","1.5mm","T","360.00","1M"
"R61","0402","67.5mm","2.5mm","67.5mm","2.5mm","67mm","2.5mm","T","360.00","1M"
"R62","0402","67.5mm","4.5mm","67.5mm","4.5mm","67mm","4.5mm","T","360.00","1M"
"R63","0603","59mm","7mm","59mm","7mm","59.85mm","7mm","T","180.00","100R"
"R64","0603","61.5mm","-8.3mm","61.5mm","-8.3mm","60.65mm","-8.3mm","T","360.00","0R"
"R66","0402","67.5mm","3.5mm","67.5mm","3.5mm","67mm","3.5mm","T","360.00","1.5k"
"C40","C0402","69.9mm","-5.6mm","69.9mm","-5.6mm","70.4mm","-5.6mm","T","180.00","100nF"
"C41","C0402","69.9mm","-4.6mm","69.9mm","-4.6mm","70.4mm","-4.6mm","T","180.00","100nF"
"R65","0603","20.2mm","13.8mm","20.2mm","13.8mm","20.2mm","14.65mm","T","270.00","0R"
"C17","C0402","57.4mm","-18.3mm","57.4mm","-18.3mm","57.4mm","-18.8mm","T","90.00","100nF"

